Job Title,Job Description,Skills,Certifications
Game Developer,"Designs and develops video games across platforms. Responsible for coding gameplay mechanics, graphics, and user interactions.","Unity, C++, Game Design, Game Engines, C#, VR Development, JavaScript, Unreal Engine","Unity Certified Developer, Game Design and Development Specialization"
GCP DevOps Engineer,"Implements DevOps practices on Google Cloud Platform. Responsible for automating deployments, managing CI/CD pipelines, and ensuring system reliability.","Google Cloud, DevOps, CI/CD, Terraform, Ansible, Docker, Kubernetes, Linux, Automation, Scripting","Google Cloud Professional DevOps Engineer, Google Cloud Associate Cloud Engineer"
Gerrit Engineer,Manages Gerrit code review system to facilitate collaborative development. Responsibilities include configuring projects and managing user access.,"Gerrit, Git, Code Review, Linux, Automation, Scripting, Version Control","Gerrit Code Review Certification (if available), GitHub Proficiency Certifications"
Git Engineer,"Specializes in Git version control systems. Responsible for managing repositories, branching strategies, and ensuring code integrity during development.","Git, Version Control, Branching Strategies, Code Review, CI/CD, Automation, Scripting","GitHub Proficiency Certifications, GitLab Certifications"
Github Engineer,"Manages GitHub repositories for version control. Responsibilities include setting up workflows, managing pull requests, and collaborating with teams.","GitHub, Git, Version Control, CI/CD, Automation, Scripting, GitHub Actions","GitHub Proficiency Certifications, GitLab Certifications"
GitLab Engineer,Administers GitLab repositories for version control. Responsible for configuring CI/CD pipelines and managing project settings.,"GitLab, Git, Version Control, CI/CD, Automation, Scripting, GitLab CI","GitLab Certified Associate, GitLab CI/CD Certification"
Gradle Engineer,Utilizes Gradle build automation tools to manage project dependencies and build processes. Responsible for optimizing build configurations.,"Gradle, Build Automation, Java, Groovy, CI/CD, Version Control, Git","Gradle Certification, Java Developer Certification"
Grafana Engineer,Implements Grafana dashboards for data visualization. Responsible for monitoring metrics from various sources to provide insights into system performance.,"Grafana, Data Visualization, Monitoring, Alerting, Metrics, Dashboards, Linux, Cloud Computing","Grafana Certified Associate, Monitoring and Observability Certifications"
Groovy Engineer,Develops scripts using Groovy programming language to automate tasks within Java applications or build processes.,"Groovy, Scripting, Jenkins, Automation, Java, Build Automation","Groovy Certification, Java Developer Certification"
INFORMATION ARCHITECT,Designs information systems that provide clear navigation structures for users. Works on organizing content effectively across digital platforms.,"Information Architecture, UI/UX Design, User Research, Wireframing, Prototyping, Content Strategy","Certified Information Architect (CIA), User Experience Professional Certification"
Information Security Analyst,Protects an organization’s computer systems by implementing security measures. Responsibilities include monitoring networks for security breaches.,"Security, Network Security, Firewalls, IDS/IPS, Vulnerability Management, Penetration Testing, Security Auditing","Certified Information Systems Security Professional (CISSP), Certified Ethical Hacker (CEH)"
INTERACTION DESIGNER,Focuses on creating engaging interfaces that enhance user experience. Responsibilities include conducting user research and usability testing.,"Interaction Design, UI/UX Design, Prototyping, User Research, Wireframing, Usability Testing","Interaction Design Foundation Certifications, Certified Usability Analyst (CUA)"
IOS Developer,Develops mobile applications for iOS devices using Swift or Objective-C. Responsible for implementing UI designs and ensuring app performance.,"Swift, Objective-C, iOS SDK, XCode, UI/UX Design, REST APIs, SQL, Mobile Development","Apple Certified iOS Developer, iOS App Development Bootcamp"
Istio Engineer,"Implements service mesh solutions using Istio to manage microservices communication. Focuses on traffic management, security policies, and observability.","Istio, Service Mesh, Kubernetes, Docker, Cloud Computing, Networking, Traffic Management, Security","Istio Certification (if available), Cloud Native Computing Foundation Certifications"
IT Manager,"Oversees IT operations within an organization. Responsibilities include managing IT staff, budgeting, and ensuring alignment with business goals.","Project Management, Team Leadership, Agile Methodologies, Budgeting, IT Infrastructure, Networking, Cloud Computing, Cybersecurity","Project Management Professional (PMP), ITIL Foundation Certification"
JaCoCO Engineer,Utilizes JaCoCO to measure code coverage in Java applications. Responsible for integrating coverage reporting into CI/CD pipelines.,"JaCoCO, Code Coverage, Java, Testing, Quality Assurance, CI/CD","Java Developer Certification, JUnit Certification"
Java Developer,"Develops software applications using Java programming language. Responsibilities include writing code, debugging, and collaborating with team members on projects.","Java, Spring Framework, Hibernate, J2EE, SQL, REST APIs, JUnit, Maven, Git, Jenkins, Cloud Computing, Microservices","Oracle Certified Professional, Java SE Programmer, Spring Framework Certification"
JavaScript Developer,Creates interactive web applications using JavaScript frameworks/libraries like React or Angular. Focuses on front-end development best practices.,"JavaScript, HTML, CSS, React, Angular, Vue.js, Node.js, TypeScript, Sass, UI/UX Design","JavaScript Developer Certificate, Certified JavaScript Developer"
Jenkins Engineer,Manages Jenkins CI/CD server to automate software builds/deployments. Responsibilities include configuring jobs/plugins and maintaining build pipelines.,"Jenkins, CI/CD, Automation, Groovy, Scripting, Linux, Docker, Kubernetes, Build Automation, Version Control","Certified Jenkins Engineer, AWS Certified DevOps Engineer – Professional"
JIRA Engineer,"Administers JIRA project management tool to support Agile teams. Responsibilities include configuring workflows, managing projects, and providing user support.","Jira, Atlassian Suite, Agile Methodologies, Workflow Configuration, User Management, Project Management","Atlassian Jira Administration Certification, AgilePM Certification"
Jr Developer,Assists in software development tasks under supervision while gaining practical experience in coding/debugging practices.,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms","CompTIA IT Fundamentals+, Coding Bootcamp Certificates"
Junior Developer,Supports development teams by writing code under guidance while learning best practices in software development.,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms","CompTIA IT Fundamentals+, Coding Bootcamp Certificates"
Junior Front End Developer,Assists in developing front-end components of web applications while learning HTML/CSS/JavaScript.,"JavaScript, HTML, CSS, React, Vue.js, Git, UI/UX Basics","HTML/CSS/JavaScript Certifications, Front-End Web Development Bootcamp"
Junior IOS Developer,Supports iOS application development efforts while gaining hands-on experience with Swift/Objective-C.,"Swift, Objective-C, iOS SDK, XCode, UI/UX Basics, Git","Apple Certified iOS Developer, iOS App Development Bootcamp"
Junior Software Developer,Participates in software development projects while gaining practical experience through coding/debugging tasks.,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms","CompTIA IT Fundamentals+, Coding Bootcamp Certificates"
Junior Software Engineer,Assists in engineering tasks related to software development while learning from experienced team members.,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms","CompTIA IT Fundamentals+, Coding Bootcamp Certificates"
Junior Web Developer,Supports web development efforts by writing basic code under supervision while learning front-end/back-end technologies.,"HTML, CSS, JavaScript, Git, Web Development Fundamentals, UI/UX Basics","HTML/CSS/JavaScript Certifications, Front-End Web Development Bootcamp"
JUnit Engineer,Utilizes JUnit framework to write unit tests for Java applications. Responsibilities include ensuring code quality through automated testing.,"JUnit, Java, Testing, Unit Testing, Test Automation, CI/CD","JUnit Certification, Java Developer Certification"
kubernetes Administrator,"Manages and maintains Kubernetes clusters, ensuring high availability, scalability, and security of containerized applications. Works closely with DevOps, development, and IT teams to deploy, troubleshoot, and optimize Kubernetes-based infrastructure.","Kubernetes, Docker, Linux, Cloud Computing, AWS, Azure, Networking, CI/CD, Automation, Security",Certified Kubernetes Administrator (CKA)/Certified Kubernetes Security Specialist (CKS)/AWS Certified Kubernetes Specialist /Red Hat Certified Specialist in OpenShift 
Kubernetes Engineer,Designs and implements Kubernetes solutions for container orchestration while ensuring high availability of services.,"Kubernetes, Docker, Linux, Cloud Computing, AWS, Azure, Networking, CI/CD, Automation, Security","Certified Kubernetes Administrator (CKA), Docker Certified Associate"
Machine Learning Engineer,Builds machine learning models by implementing algorithms/data processing techniques while focusing on model evaluation/deployment.,"Python, Machine Learning, TensorFlow, Keras, PyTorch, Data Analysis, Deep Learning, Natural Language Processing, Computer Vision, Data Science, Algorithms","Microsoft Certified: Azure Data Scientist Associate, TensorFlow Developer Certificate"
MAVEN Engineer,Manages build processes using Maven for Java applications. Responsibilities include configuring pom.xml files and optimizing build performance.,"Maven, Java, Build Automation, Dependency Management, CI/CD, Version Control, Git","Maven Certification, Java Developer Certification"
Micro services / API Lead Designer,"Responsible for architecting, designing, and leading the development of scalable, secure, and efficient microservices-based applications. Collaborate closely with engineering, DevOps, and product teams to define API strategies, ensure seamless integration, and optimize system performance.","Microservices, API Design, REST APIs, SOA, Cloud Computing, Java, Python, Security","AWS Certified Solutions Architect/Google Professional Cloud Architect, Microsoft Certified-Azure Solutions Architect Expert/API Design & Management certifications "
MOBILE APP DEVELOPER,Develops mobile applications for platforms like Android and iOS. Responsibilities include designing user interfaces and integrating backend services.,"Android SDK, Java, Kotlin, iOS, Swift, Objective-C, React Native, Flutter, Mobile Development, UI/UX Design","Google Associate Android Developer, Apple Certified iOS Developer"
Mobile Application Developer,Creates mobile applications using frameworks like React Native or Flutter. Focuses on delivering high-quality user experiences across devices.,"Android SDK, Java, Kotlin, iOS, Swift, Objective-C, React Native, Flutter, Mobile Development, UI/UX Design","Google Associate Android Developer, Apple Certified iOS Developer"
Mulesoft Developer,Designs and develops integration solutions using MuleSoft Anypoint Platform. Responsible for creating APIs and managing data flows between systems.,"MuleSoft, Anypoint Platform, API Development, Integration, Java, REST APIs, SOA","MuleSoft Certified Developer, MuleSoft Certified Architect"
Nagios Engineer,Implements Nagios monitoring solutions to track system performance and availability. Responsible for configuring alerts and managing monitoring plugins.,"Nagios, Monitoring, Linux, Scripting, Alerting, System Administration, Networking","Nagios Core Administration Certification, Linux Administration Certifications"
Network and Systems Administrator,"Manages network infrastructure and systems to ensure operational efficiency. Responsibilities include troubleshooting, maintenance, and user support.","Networking, Linux, Windows Server, Troubleshooting, Scripting, Automation, System Administration","CompTIA Network+, Cisco CCNA"
Network Engineer,"Designs, implements, and manages network solutions to ensure reliable connectivity. Responsibilities include configuring routers/switches and monitoring network performance.","TCP/IP, LAN/WAN, Routing, Switching, Firewalls, VPN, Cisco, Security, Networking Protocols","Cisco CCNA, CompTIA Network+"
New Grad Software Engineer,Entry-level position focused on software development tasks while gaining practical experience in coding/debugging under supervision.,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms","CompTIA IT Fundamentals+, Coding Bootcamp Certificates"
New Relic Engineer,"Utilizes New Relic for application performance monitoring. Responsibilities include configuring dashboards, analyzing metrics, and optimizing application performance.","New Relic, Application Performance Monitoring, Troubleshooting, Java, .NET, Cloud Computing, Metrics, Alerting","New Relic Monitoring and Observability Certifications, AWS Certified DevOps Engineer – Professional"
Nexus Engineer,Manages Nexus repository for artifact management in CI/CD pipelines. Responsible for configuring repositories and ensuring efficient artifact storage.,"Nexus, Artifact Repository, Maven, Gradle, Docker, CI/CD, Build Automation","Nexus Repository Manager Certification, DevOps Institute Certifications"
Nomad Engineer,Implements Nomad for workload orchestration across distributed systems. Responsibilities include managing job definitions and ensuring service availability.,"Nomad, Container Orchestration, Docker, Linux, Cloud Computing, Automation, Networking","HashiCorp Certified: Nomad Associate, Cloud Native Computing Foundation Certifications"
Notary Engineer,Utilizes Notary for secure signing of container images. Responsible for implementing trust management within containerized environments.,"Notary, Security, Docker, Container Security, Cryptography, Trust Management","Notary Security Certifications, Docker Security Certifications"
Octopus Deploy Engineer,Manages deployment processes using Octopus Deploy. Responsibilities include configuring deployment projects and automating release workflows.,"Octopus Deploy, Deployment Automation, CI/CD, .NET, PowerShell, Scripting, Cloud Computing","Octopus Deploy Certification, CI/CD Certifications"
OpenShift Engineer,"Administers OpenShift container platform for deploying applications. Responsibilities include managing clusters, scaling applications, and ensuring uptime.","OpenShift, Kubernetes, Docker, Linux, Cloud Computing, CI/CD, Automation, Security","Red Hat OpenShift Administration Certification, Kubernetes Administrator Certification"
OpenStack Engineer,Implements OpenStack solutions for cloud infrastructure management. Responsible for deploying services and managing virtualized resources.,"OpenStack, Cloud Computing, Virtualization, Networking, Linux, Automation, Scripting","OpenStack Administrator Certification, Cloud Infrastructure Certifications"
Oracle Developer,"Develops applications using Oracle technologies including PL/SQL. Responsibilities include database design, coding, testing, and optimization.","Oracle, SQL, PL/SQL, Database Design, Performance Tuning, ETL","Oracle Certified Professional, Java SE Programmer, Oracle Database SQL Certified Associate"
Oracle SQL Developer,"Utilizes Oracle SQL Developer to manage database development tasks including writing queries, creating reports, and optimizing database performance.","Oracle SQL Developer, SQL, PL/SQL, Database Development, Performance Tuning, ETL","Oracle SQL Certified Associate, Oracle Database SQL Expert"
Packer Engineer,Uses Packer to automate the creation of machine images across platforms. Responsible for maintaining image templates and ensuring consistency in deployments.,"Packer, Infrastructure as Code, Cloud Computing, Automation, AWS, Azure, Google Cloud","HashiCorp Certified: Packer Associate, Infrastructure as Code Certifications"
PHP Developer,"Develops web applications using PHP programming language. Responsibilities include coding, debugging, and collaborating with front-end developers on integrations.","PHP, MySQL, Laravel, JavaScript, CSS, HTML, RESTful APIs, Symfony, Git","Zend Certified PHP Engineer, PHP Framework Certifications"
Powershell Engineer,Utilizes PowerShell scripting to automate administrative tasks in Windows environments. Responsible for writing scripts to manage system configurations.,"PowerShell, Scripting, Automation, Windows Server, Cloud Computing, Active Directory","Microsoft Certified: Azure Administrator Associate, Windows PowerShell Training"
PRODUCT MANAGER,"Oversees product development from conception to launch. Responsibilities include defining product vision, gathering requirements, and coordinating cross-functional teams.","Product Management, Agile Methodologies, User Research, Roadmap Planning, Stakeholder Management, Communication","Certified Scrum Product Owner (CSPO), Product Management Professional (PMP)"
Programmer,Writes code to develop software applications based on specifications provided by stakeholders. Collaborates with other developers on coding best practices.,"Programming, Algorithms, Data Structures, Debugging, Software Development, Python, Java, C++","CompTIA IT Fundamentals+, Microsoft Certified: Azure Fundamentals, Oracle Certified Associate (OCA) in Java/Python, AWS Certified Developer - Associate"
Programmer Analyst,"Analyzes business requirements to develop software solutions. Responsibilities include coding, testing, debugging, and providing technical support.","Programming, Data Analysis, Requirements Gathering, SQL, Data Modeling, Process Improvement"," CompTIA IT Fundamentals+, Microsoft Certified: Azure Fundamentals, Oracle Certified Associate (OCA) in Java/Python, AWS Certified Developer - Associate"
Prometheus Engineer,Implements Prometheus monitoring solutions to track application performance metrics. Responsible for configuring alerts/dashboards based on metrics collected.,"Prometheus, Monitoring, Alerting, Metrics, Kubernetes, Docker, Cloud Computing","Certified Kubernetes Administrator (CKA), Grafana Cloud Monitoring Certification, Prometheus Certified Associate (PCA) "
Puppet Engineer,Utilizes Puppet for configuration management tasks across environments. Responsibilities include writing manifests/scripts to automate system configurations.,"Puppet, Ruby, Automation, Configuration Management, Linux, Cloud Computing, AWS, Azure, Infrastructure as Code","Puppet Certified Professional, Red Hat Certified Specialist in Configuration Management, AWS Certified DevOps Engineer"
PyTest Engineer,Uses PyTest framework to write unit tests for Python applications. Responsible for ensuring code quality through automated testing practices.,"PyTest, Python, Testing, Unit Testing, Test Automation, CI/CD","ISTQB Certified Tester, Certified Python Developer (PCAP, PCPP), Selenium WebDriver with Python Certification"
Python Developer,"Develops software applications using Python programming language. Responsibilities include writing code, debugging issues, and collaborating with other developers.","Python, Django, Flask, REST APIs, SQL, Data Structures, Algorithms, Cloud Computing, Linux, Docker, Git","Microsoft Certified: Python Programming, Google Professional Data Engineer, AWS Certified Developer - Associate, PCAP (Certified Associate in Python Programming)"
QA Engineer,Implements testing strategies to ensure software quality through manual/automated testing methods while collaborating with development teams on quality standards.,"Automation Testing, Selenium, JUnit, TestNG, CI/CD, Python, Git, Jenkins, Test Automation, Agile Testing, Performance Testing","ISTQB Foundation Level, Certified Software Quality Analyst (CSQA), Certified Software Test Engineer (CSTE)"
React Developer,Develops user interfaces using React.js framework. Responsibilities include implementing responsive designs and optimizing application performance.,"JavaScript, React, HTML, CSS, Node.js, Redux, UI/UX Design, Git","Meta Front-End Developer Certificate, React Nanodegree (Udacity), AWS Certified Developer - Associate"
Robotics Engineer,Designs robotic systems by developing software/hardware components that enable robots to perform tasks autonomously or semi-autonomously.,"Robotics, C++, Python, ROS, Embedded Systems, Control Systems, Sensors, Actuators","Certified LabVIEW Developer (CLD), ROS (Robot Operating System) Certification, Siemens Mechatronic Systems Certification"
RUBY ON RAILS DEVELOPER,Develops web applications using Ruby on Rails framework while focusing on back-end logic/integrating front-end components.,"Ruby on Rails, Ruby, SQL, HTML, CSS, JavaScript, REST APIs, Git","Ruby Association Certified Ruby Programmer, AWS Certified Developer - Associate"
Salesforce Developer,Customizes Salesforce platform by developing applications/components using Apex/Visualforce while ensuring alignment with business processes.,"Salesforce, Apex, Visualforce, Lightning, SOQL, Salesforce Administration, REST APIs","Salesforce Certified Platform Developer I & II, Salesforce Certified Administrator"
Search Engine Optimization,No description available,"SEO, Keyword Research, On-Page Optimization, Off-Page Optimization, Content Marketing, Analytics","Google Analytics Certification, HubSpot Content Marketing Certification, SEMrush SEO Fundamentals Certification"
SECURITY SPECIALIST,Protects organizational data by implementing security measures. Responsibilities include conducting risk assessments and responding to security incidents.,"Security, Network Security, Firewalls, IDS/IPS, Vulnerability Management, Penetration Testing, Security Auditing","Certified Ethical Hacker (CEH), CISSP (Certified Information Systems Security Professional), CompTIA Security+, OSCP (Offensive Security Certified Professional)"
Selenium Engineer,"Designs and develops automated test scripts using Selenium. Responsibilities include creating test plans, executing tests, and reporting defects.","Selenium, Test Automation, Java, Python, WebDriver, CI/CD, Testing Frameworks","ISTQB Advanced Test Automation Engineer, Certified Selenium Professional, Test Automation Engineer (TAE) Certification"
Senior Ansible Development Engineer,Leads development efforts for Ansible-based automation solutions. Responsibilities include mentoring junior engineers and designing complex playbooks.,"Ansible, Automation, Infrastructure as Code, Cloud Computing, AWS, Azure, Linux, Python, Scripting, Networking, Leadership","Red Hat Certified Specialist in Ansible Automation, AWS Certified DevOps Engineer - Professional"
Senior Cloud Architect,Designs and implements cloud solutions at a senior level. Responsibilities include cloud strategy development and providing guidance on cloud best practices.,"Cloud Architecture, AWS, Azure, Google Cloud, Microservices, Kubernetes, Docker, Security, Leadership","AWS Certified Solutions Architect - Professional, Google Professional Cloud Architect, Microsoft Certified: Azure Solutions Architect Expert"
Senior DevOps Architect,Leads DevOps initiatives at an architectural level by designing CI/CD pipelines and promoting automation across development teams.,"Cloud Computing, AWS, Azure, Google Cloud, Docker, Kubernetes, Terraform, Ansible, CI/CD, Automation, Security, Networking, Leadership","AWS Certified DevOps Engineer - Professional, Google Professional Cloud DevOps Engineer, Certified Kubernetes Administrator (CKA)"
Senior DevOps Engineer,Drives DevOps initiatives at a senior level. Responsibilities include mentoring team members and implementing automation strategies.,"Docker, Kubernetes, CI/CD, AWS, Azure, Linux, Terraform, Ansible, Jenkins, Git, Automation, Networking, Python, Cloud Computing, Leadership","AWS Certified DevOps Engineer – Professional, Docker Certified Associate"
Senior DevSecOps Architect,Integrates security into DevOps practices at an architectural level by designing secure CI/CD pipelines and implementing security best practices.,"DevSecOps, Cloud Security, Kubernetes, Docker, Terraform, Ansible, CI/CD, Security Automation, Vulnerability Management, Leadership","Certified DevSecOps Professional (CDP), AWS Certified Security - Specialty, Certified Kubernetes Security Specialist (CKS)"
Senior SRE Architect,Leads SRE efforts at an architectural level by designing scalable/reliable systems while improving incident response strategies.,"SRE, Monitoring, Kubernetes, Docker, Cloud Platforms, Linux, Automation, DevOps, CI/CD, Python, Networking, Leadership","Google Professional Cloud DevOps Engineer, Certified Kubernetes Administrator (CKA), AWS Certified Solutions Architect - Professional"
Senior SRE Engineer,Drives site reliability efforts by implementing monitoring solutions and automating incident response. Responsible for improving service availability.,"SRE, Monitoring, Kubernetes, Docker, Cloud Platforms, Linux, Automation, DevOps, CI/CD, Python, Networking, Leadership","Google Professional Cloud DevOps Engineer, Certified Kubernetes Administrator (CKA), AWS Certified Solutions Architect - Professional"
Sharepoint Developer,Develops applications on SharePoint platform using technologies like .NET and JavaScript. Responsibilities include customizing SharePoint sites and building web parts.,"SharePoint, .NET, C#, JavaScript, PowerShell, SharePoint Framework, REST APIs","Microsoft Certified: SharePoint Developer, Microsoft 365 Certified: Developer Associate"
Software Developer,"Develops software applications based on specifications provided by stakeholders. Responsibilities include coding, testing, debugging, and collaborating on projects.","Programming, Algorithms, Data Structures, Debugging, Software Development, Python, Java, C++","Microsoft Certified: Azure Developer Associate, AWS Certified Developer - Associate, Oracle Certified Professional Java SE Developer"
Software Engineer,"Designs, develops, and tests software applications to meet business needs. Requires strong problem-solving skills and knowledge of software development methodologies.","Java, C++, Python, Algorithms, Data Structures, Software Design, Git, Jenkins, CI/CD, Cloud Computing","Microsoft Certified: Azure Developer Associate, AWS Certified Developer - Associate, Oracle Certified Professional Java SE Developer"
SonarQube Engineer,Manages SonarQube instance to measure/track code quality. Responsible for configuring quality profiles/gates while providing feedback to development teams.,"SonarQube, Code Quality, Static Code Analysis, Java, .NET, Security, CI/CD","Certified Secure Software Lifecycle Professional (CSSLP), OWASP Top 10 Security Testing Certifications"
Splunk Engineer,"Implements Splunk solutions for log analysis, security monitoring, and operational intelligence. Responsible for creating dashboards/alerts and managing data ingestion.","Splunk, Data Analysis, Log Management, Security, Dashboards, Alerting, Scripting, Linux, AWS, Azure","Splunk Core Certified Power User, Splunk Enterprise Security Admin"
Splunk Enterprise Security Engineer,Manages Splunk Enterprise Security environment to detect/respond to security incidents. Requires expertise in threat detection techniques.,"Splunk Enterprise Security, Security Information and Event Management (SIEM), Threat Detection, Incident Response, Security Analysis","Splunk Core Certified User, Splunk Core Certified Power User, Splunk Enterprise Security Certified Admin"
SQL Developer,"Writes SQL code for database applications. Responsibilities include creating stored procedures, optimizing queries, and designing database schemas.","SQL, T-SQL, SQL Server, Database Design, Performance Tuning, ETL, SSRS, SSIS, Data Modeling","Microsoft Certified: Azure Data Engineer Associate, Oracle Database SQL Certified Associate"
SRE Architect,Designs Site Reliability Engineering strategies to improve system reliability while reducing operational overheads through automation.,"SRE, Cloud Architecture, Kubernetes, Docker, Monitoring, Incident Management, Automation, CI/CD, Networking","Google Professional Cloud DevOps Engineer, Certified Kubernetes Administrator (CKA), AWS Certified Solutions Architect - Professional"
SRE Engineer,"Implements Site Reliability Engineering practices by monitoring systems, responding to incidents, and automating operational tasks.","SRE, Monitoring, Kubernetes, Docker, Cloud Platforms, Linux, Automation, DevOps, CI/CD, Python","Google Professional Cloud DevOps Engineer, Certified Kubernetes Administrator (CKA), AWS Certified Solutions Architect - Professional"
SYSTEMS ADMINISTRATOR,"Manages computer systems within an organization. Responsibilities include configuring servers, troubleshooting issues, and ensuring system security.","Linux Administration, Windows Server Administration, Networking, Troubleshooting, Scripting, Virtualization","CompTIA Linux+, Red Hat Certified System Administrator (RHCSA), Microsoft Certified: Windows Server Hybrid Administrator Associate"
SYSTEMS ENGINEER,"Designs and implements IT systems that meet business requirements. Responsibilities include system integration, testing, and deployment.","Systems Design, Linux Administration, Windows Server Administration, Networking, Cloud Computing","CompTIA Server+, Microsoft Certified: Azure Solutions Architect Expert, Red Hat Certified Engineer (RHCE)"
TeamCity Engineer,Manages TeamCity CI/CD server by configuring build configurations/pipelines and integrating with source control systems.,"TeamCity, CI/CD, Build Automation, Version Control, Git","JetBrains TeamCity Certification (if available), AWS Certified DevOps Engineer - Professional"
Tech Sales Engineer,Supports sales efforts by providing technical expertise during presentations/demonstrations while answering questions about technical aspects.,"Technical Sales, Product Knowledge, Customer Engagement, Networking Technologies","AWS Certified Cloud Practitioner, Google Cloud Digital Leader, Microsoft Certified: Azure Fundamentals"
TECHNICAL ACCOUNT MANAGER,Manages relationships with technical customers while providing support/guidance on their technology needs. Acts as a liaison between customer/engineering teams.,"Account Management, Technical Support, Customer Relationship Management (CRM), Project Management","AWS Certified Solutions Architect - Associate, Google Professional Cloud Architect, Microsoft Certified: Azure Administrator Associate"
TECHNICAL LEAD,Leads technical teams on projects by providing guidance/mentorship while driving technical direction/decisions within projects.,"Team Leadership, Project Management, Software Development Lifecycle (SDLC), Agile Methodologies","AWS Certified Solutions Architect - Professional, Microsoft Certified: Azure Solutions Architect Expert, Google Professional Cloud Architect"
Terraform Engineer,Writes Terraform scripts to automate infrastructure provisioning across cloud platforms. Requires expertise in Infrastructure as Code (IaC) practices.,"Terraform, Infrastructure as Code (IaC), AWS, Azure, Google Cloud","HashiCorp Certified: Terraform Associate, AWS Certified DevOps Engineer - Professional"
TFS Engineer,Manages Team Foundation Server (TFS) to support software development processes. Responsibilities include configuring build pipelines and managing version control.,"TFS (Team Foundation Server), .NET Development Tools, .NET Framework","Microsoft Certified: DevOps Engineer Expert, Azure DevOps Solutions Certification"
UDeploy Engineer,Manages deployment processes using UrbanCode Deploy. Responsibilities include configuring deployment projects and automating release workflows.,"UDeploy (UrbanCode Deploy), CI/CD, Automation, Deployment Strategies, Version Control"," IBM UrbanCode Deploy Certification, AWS Certified DevOps Engineer - Professional"
UI DESIGNER,Designs user interfaces that are visually appealing while intuitive to use. Responsibilities include creating mockups/prototypes and conducting user research.,"UI Design Principles, Wireframing, Prototyping, Adobe Creative Suite, Figma, User Testing","Google UX Design Professional Certificate, Nielsen Norman Group UX Certification, Adobe Certified Expert (ACE)"
UI Developer,"Develops user interfaces using HTML5, CSS3, JavaScript while focusing on responsive design principles. Collaborates with UI designers to implement designs.","HTML5, CSS3, JavaScript, jQuery, Responsive Design, AngularJS, ReactJS","Meta Front-End Developer Certificate, AWS Certified Developer - Associate, React Nanodegree (Udacity)"
Unity Developer,Develops interactive content with Unity engine including 3D simulations while working with assets created by graphic designers,"Unity3D Engine, C#, Game Development Principles, 3D Modeling, Animation","Unity Certified Associate: Game Developer, Unity Certified Expert Programmer"
UX DESIGNER,Conducts user research studies to gather insights on user behavior. Create wireframes/mockups based on data collected from research initiatives,"User Experience Design Principles, User Research, Wireframing, Prototyping, Usability Testing, Interaction Design","Google UX Design Professional Certificate, Nielsen Norman Group UX Certification, Adobe Certified Expert (ACE)"
Vault Engineer,Implement secret management to the cloud application.,"HashiCorp Vault, Secrets Management, Encryption, Access Control, Cloud Security"," HashiCorp Certified: Vault Associate, AWS Certified Security - Specialty"
Web Designer (UI/UX Designer),"Create front end web application using HTML, Css, JS.","UI/UX Design, Wireframing, Prototyping, Adobe Creative Suite, Figma","Google UX Design Certificate, Adobe Certified Expert (ACE), Nielsen Norman Group UX Certification"
Web Developer,"Develops and maintains websites and web applications. Responsibilities include writing code, debugging, and ensuring optimal performance across different browsers and devices.","HTML5, CSS3, JavaScript, React, Node.js, AngularJS, PHP","Meta Front-End Developer Certificate, AWS Certified Developer - Associate, Google Mobile Web Specialist"
WordPress Developer,"Creates and customizes WordPress websites. Responsibilities include developing themes/plugins, managing content, and ensuring website functionality.","WordPress, PHP, MySQL, HTML5, CSS3, JavaScript","Yoast SEO Certification, Google Mobile Sites Certification, WP Elevation Certification"
XL Deploy Engineer,"Manages deployment processes using XL Deploy. Responsibilities include configuring deployment pipelines, automating releases, and ensuring application availability.","XL Deploy, Deployment Automation, CI/CD, Version Control","XL Deploy Certification, DevOps Institute Certifications"
Zabbix Engineer,"Implements Zabbix monitoring solutions to track system performance and availability. Responsible for configuring alerts, dashboards, and monitoring metrics.","Zabbix, Monitoring Tools, Alerting Systems, Network Monitoring","Zabbix Certified Specialist, Zabbix Certified Professional"
ACCESSIBILITY SPECIALIST,"Ensures digital products meet accessibility standards, enhancing usability for all users.","Web Accessibility Guidelines, HTML, CSS, JavaScript, User Experience Design"," IAAP Certified Professional in Accessibility Core Competencies (CPACC), Web Accessibility Specialist (WAS)"
ADMIN BIG DATA,"Administers and manages large datasets, ensuring data integrity and accessibility.","Big Data Management, Hadoop, Spark, Data Warehousing, SQL","Cloudera Certified Administrator (CCA), Google Cloud Professional Data Engineer"
AGILE PROJECT MANAGER,"Leads projects using agile frameworks, focusing on iterative development and team collaboration.","Agile Methodologies, Scrum, Kanban, Project Management Tools, Leadership","PMI Agile Certified Practitioner (PMI-ACP), Certified Scrum Master (CSM), SAFe Agilist Certification"
ANDROID DEVELOPER,"Develops mobile applications for Android devices, integrating features and ensuring user experience.","Java, Kotlin, Android SDK, Mobile App Development, UI/UX Design","Google Associate Android Developer, Meta Android Developer Professional Certificate"
